iters,fevals,fitness,time
0,2,113.0,0.014999866485595703
1,4,113.0,0.019999980926513672
2,6,113.0,0.021999835968017578
3,8,113.0,0.023999929428100586
4,10,113.0,0.02499985694885254
5,12,113.0,0.02499985694885254
6,14,113.0,0.025999784469604492
7,16,113.0,0.026999950408935547
8,18,113.0,0.026999950408935547
9,20,113.0,0.0279998779296875
10,22,113.0,0.0279998779296875
11,24,113.0,0.0279998779296875
12,26,113.0,0.028999805450439453
13,28,113.0,0.028999805450439453
14,30,113.0,0.028999805450439453
15,32,113.0,0.031999826431274414
16,34,113.0,0.03299999237060547
17,36,113.0,0.03399991989135742
18,38,113.0,0.03399991989135742
19,40,113.0,0.03399991989135742
20,42,113.0,0.03399991989135742
21,44,113.0,0.034999847412109375
22,46,113.0,0.034999847412109375
23,48,113.0,0.034999847412109375
24,50,113.0,0.04499983787536621
25,52,113.0,0.04799985885620117
26,55,115.0,0.04799985885620117
27,57,115.0,0.04799985885620117
28,59,115.0,0.056999921798706055
29,61,115.0,0.05799984931945801
30,63,115.0,0.05799984931945801
31,65,119.0,0.05799984931945801
32,68,120.0,0.06299996376037598
33,70,120.0,0.06299996376037598
34,72,120.0,0.06399989128112793
35,74,120.0,0.06399989128112793
36,76,120.0,0.06799983978271484
37,78,120.0,0.06799983978271484
38,80,120.0,0.06799983978271484
39,82,120.0,0.06999993324279785
40,84,120.0,0.06999993324279785
41,86,120.0,0.06999993324279785
42,88,120.0,0.06999993324279785
43,90,120.0,0.06999993324279785
44,92,120.0,0.0709998607635498
45,94,120.0,0.0709998607635498
46,96,120.0,0.0709998607635498
47,98,120.0,0.0709998607635498
48,100,120.0,0.07199978828430176
49,102,120.0,0.07299995422363281
50,104,120.0,0.07299995422363281
51,106,120.0,0.07299995422363281
52,108,120.0,0.07299995422363281
53,110,120.0,0.07399988174438477
54,112,120.0,0.07599997520446777
55,114,120.0,0.07599997520446777
56,116,120.0,0.07699990272521973
57,118,120.0,0.07699990272521973
58,120,120.0,0.07699990272521973
59,122,120.0,0.07799983024597168
60,124,120.0,0.07799983024597168
61,126,120.0,0.07799983024597168
62,128,120.0,0.07799983024597168
63,130,120.0,0.07799983024597168
64,132,120.0,0.07799983024597168
65,134,120.0,0.07899999618530273
66,136,120.0,0.07899999618530273
67,138,120.0,0.07899999618530273
68,140,120.0,0.07899999618530273
69,142,120.0,0.07899999618530273
70,144,120.0,0.07899999618530273
71,146,120.0,0.07899999618530273
72,148,120.0,0.07899999618530273
73,150,120.0,0.07899999618530273
74,152,120.0,0.07999992370605469
75,154,120.0,0.07999992370605469
76,156,120.0,0.07999992370605469
77,158,120.0,0.07999992370605469
78,160,120.0,0.07999992370605469
79,162,120.0,0.07999992370605469
80,164,120.0,0.07999992370605469
81,166,120.0,0.07999992370605469
82,168,120.0,0.08099985122680664
83,170,120.0,0.08099985122680664
84,172,120.0,0.08099985122680664
85,174,120.0,0.08099985122680664
86,176,120.0,0.08099985122680664
87,178,120.0,0.0839998722076416
88,180,120.0,0.08499979972839355
89,182,120.0,0.08499979972839355
90,184,120.0,0.08499979972839355
91,186,120.0,0.08499979972839355
92,188,120.0,0.08499979972839355
93,190,120.0,0.08599996566772461
94,192,120.0,0.08599996566772461
95,194,120.0,0.08599996566772461
96,196,120.0,0.08599996566772461
97,198,120.0,0.08699989318847656
98,200,120.0,0.08699989318847656
99,202,120.0,0.08699989318847656
100,204,120.0,0.08699989318847656
101,206,120.0,0.08699989318847656
102,208,120.0,0.08799982070922852
103,210,120.0,0.08799982070922852
104,212,120.0,0.08799982070922852
105,214,120.0,0.08799982070922852
106,216,120.0,0.08799982070922852
107,218,120.0,0.08799982070922852
108,220,120.0,0.08799982070922852
109,222,120.0,0.08899998664855957
110,224,121.0,0.08899998664855957
111,226,121.0,0.08899998664855957
112,228,121.0,0.08899998664855957
113,230,121.0,0.09599995613098145
114,232,121.0,0.0969998836517334
115,234,121.0,0.0969998836517334
116,236,121.0,0.0969998836517334
117,238,121.0,0.0969998836517334
118,240,121.0,0.0969998836517334
119,242,121.0,0.0969998836517334
120,244,121.0,0.09799981117248535
121,246,121.0,0.09799981117248535
122,248,121.0,0.09799981117248535
123,250,121.0,0.09799981117248535
124,252,121.0,0.09799981117248535
125,254,121.0,0.09799981117248535
126,256,121.0,0.0989999771118164
127,258,121.0,0.0989999771118164
128,260,121.0,0.0989999771118164
129,262,121.0,0.09999990463256836
130,264,121.0,0.09999990463256836
131,266,121.0,0.09999990463256836
132,268,121.0,0.09999990463256836
133,270,121.0,0.09999990463256836
134,272,121.0,0.09999990463256836
135,274,121.0,0.09999990463256836
136,276,121.0,0.10099983215332031
137,278,121.0,0.10099983215332031
138,280,121.0,0.10099983215332031
139,282,121.0,0.10099983215332031
140,284,121.0,0.10099983215332031
141,286,121.0,0.10099983215332031
142,288,121.0,0.10199999809265137
143,290,121.0,0.10299992561340332
144,293,123.0,0.10299992561340332
145,295,123.0,0.10299992561340332
146,297,123.0,0.10399985313415527
147,299,123.0,0.10499978065490723
148,301,123.0,0.10699987411499023
149,303,123.0,0.10699987411499023
150,306,126.0,0.10699987411499023
151,308,126.0,0.10699987411499023
152,310,126.0,0.10699987411499023
153,312,126.0,0.10699987411499023
154,314,126.0,0.10799980163574219
155,316,126.0,0.10799980163574219
156,318,126.0,0.10799980163574219
157,320,126.0,0.10799980163574219
158,322,126.0,0.10799980163574219
159,324,126.0,0.10799980163574219
160,326,126.0,0.10799980163574219
161,328,126.0,0.10799980163574219
162,330,126.0,0.10899996757507324
163,332,126.0,0.10899996757507324
164,334,126.0,0.10899996757507324
165,336,126.0,0.10899996757507324
166,338,126.0,0.10899996757507324
167,340,126.0,0.10899996757507324
168,342,126.0,0.10899996757507324
169,344,126.0,0.11099982261657715
170,346,126.0,0.11099982261657715
171,348,126.0,0.11099982261657715
172,350,126.0,0.11099982261657715
173,352,126.0,0.1119999885559082
174,354,126.0,0.1119999885559082
175,356,126.0,0.1119999885559082
176,358,126.0,0.1119999885559082
177,360,126.0,0.1119999885559082
178,362,126.0,0.1119999885559082
179,364,126.0,0.1119999885559082
180,366,126.0,0.1119999885559082
181,368,126.0,0.1119999885559082
182,370,126.0,0.1119999885559082
183,372,126.0,0.1119999885559082
184,374,126.0,0.11299991607666016
185,376,126.0,0.11299991607666016
186,378,126.0,0.11299991607666016
187,380,126.0,0.11299991607666016
188,382,126.0,0.11299991607666016
189,384,126.0,0.11299991607666016
190,386,126.0,0.11299991607666016
191,388,126.0,0.11299991607666016
192,390,126.0,0.11299991607666016
193,392,126.0,0.11299991607666016
194,394,126.0,0.11299991607666016
195,396,126.0,0.11299991607666016
196,398,126.0,0.11399984359741211
197,400,126.0,0.11399984359741211
198,402,126.0,0.11399984359741211
199,404,126.0,0.11399984359741211
