iters,fevals,fitness,time
0,2,109.0,0.0009999275207519531
1,4,109.0,0.002000093460083008
2,6,109.0,0.002000093460083008
3,8,109.0,0.002000093460083008
4,10,109.0,0.002000093460083008
5,12,107.0,0.002000093460083008
6,14,107.0,0.002000093460083008
7,16,107.0,0.002000093460083008
8,18,107.0,0.002000093460083008
9,20,107.0,0.002000093460083008
10,22,107.0,0.002000093460083008
11,24,107.0,0.002000093460083008
12,27,106.0,0.002000093460083008
13,29,106.0,0.002000093460083008
14,31,106.0,0.002000093460083008
15,33,106.0,0.002000093460083008
16,35,106.0,0.002000093460083008
17,37,106.0,0.002000093460083008
18,39,106.0,0.002000093460083008
19,41,106.0,0.002000093460083008
20,43,106.0,0.002000093460083008
21,45,106.0,0.002000093460083008
22,47,105.0,0.002000093460083008
23,49,105.0,0.002000093460083008
24,52,104.0,0.002000093460083008
25,54,104.0,0.002000093460083008
26,56,104.0,0.002000093460083008
27,58,104.0,0.002000093460083008
28,60,104.0,0.002000093460083008
29,62,104.0,0.002000093460083008
30,64,104.0,0.002000093460083008
31,66,104.0,0.002000093460083008
32,68,104.0,0.003000020980834961
33,70,104.0,0.003000020980834961
34,72,104.0,0.003000020980834961
35,74,104.0,0.003000020980834961
36,76,104.0,0.003000020980834961
37,78,104.0,0.003000020980834961
38,80,104.0,0.003000020980834961
39,82,104.0,0.003000020980834961
40,84,104.0,0.003000020980834961
41,86,104.0,0.003000020980834961
42,88,104.0,0.003000020980834961
43,90,104.0,0.003000020980834961
44,93,105.0,0.003000020980834961
45,95,105.0,0.003000020980834961
46,97,105.0,0.003000020980834961
47,99,105.0,0.003000020980834961
48,101,105.0,0.003000020980834961
49,103,105.0,0.003000020980834961
50,105,105.0,0.003000020980834961
51,107,105.0,0.003999948501586914
52,109,105.0,0.003999948501586914
53,111,105.0,0.003999948501586914
54,113,105.0,0.003999948501586914
55,115,105.0,0.003999948501586914
56,117,105.0,0.003999948501586914
57,119,105.0,0.003999948501586914
58,121,105.0,0.003999948501586914
59,123,105.0,0.003999948501586914
60,125,105.0,0.003999948501586914
61,127,105.0,0.003999948501586914
62,129,105.0,0.003999948501586914
63,131,105.0,0.003999948501586914
64,133,105.0,0.003999948501586914
65,135,105.0,0.003999948501586914
66,137,105.0,0.003999948501586914
67,139,105.0,0.003999948501586914
68,141,105.0,0.003999948501586914
69,143,105.0,0.003999948501586914
70,145,105.0,0.003999948501586914
71,147,105.0,0.003999948501586914
72,149,105.0,0.003999948501586914
73,151,105.0,0.003999948501586914
74,153,105.0,0.003999948501586914
75,155,105.0,0.003999948501586914
76,157,105.0,0.003999948501586914
77,159,106.0,0.003999948501586914
78,161,106.0,0.005000114440917969
79,163,106.0,0.006000041961669922
80,165,106.0,0.006000041961669922
81,167,105.0,0.006999969482421875
82,169,105.0,0.006999969482421875
83,171,105.0,0.006999969482421875
84,173,105.0,0.006999969482421875
85,175,105.0,0.006999969482421875
86,177,105.0,0.006999969482421875
87,179,105.0,0.006999969482421875
88,181,105.0,0.006999969482421875
89,183,105.0,0.006999969482421875
90,185,105.0,0.006999969482421875
91,187,105.0,0.006999969482421875
92,189,104.0,0.006999969482421875
93,191,104.0,0.006999969482421875
94,193,104.0,0.006999969482421875
95,195,104.0,0.006999969482421875
96,197,104.0,0.006999969482421875
97,199,104.0,0.007999897003173828
