iters,fevals,fitness,time
0,230,111.0,0.0010001659393310547
1,1192,109.0,0.002000093460083008
2,2442,109.0,0.003000020980834961
3,2835,109.0,0.003000020980834961
4,2915,109.0,0.003000020980834961
5,3150,109.0,0.003000020980834961
6,3230,109.0,0.003000020980834961
7,3335,109.0,0.004000186920166016
8,3517,109.0,0.004000186920166016
9,3622,109.0,0.004000186920166016
10,3803,109.0,0.004000186920166016
11,3881,109.0,0.004000186920166016
12,4086,109.0,0.004000186920166016
13,4216,109.0,0.004000186920166016
14,4268,109.0,0.004000186920166016
15,4321,109.0,0.004000186920166016
16,4504,109.0,0.004000186920166016
17,4556,109.0,0.005000114440917969
18,4608,109.0,0.005000114440917969
19,4685,109.0,0.005000114440917969
20,4737,109.0,0.005000114440917969
21,4790,109.0,0.005000114440917969
22,4843,109.0,0.005000114440917969
23,4893,109.0,0.005000114440917969
24,4945,109.0,0.005000114440917969
25,4996,109.0,0.005000114440917969
26,5046,109.0,0.005000114440917969
27,5097,109.0,0.005000114440917969
28,5150,109.0,0.005000114440917969
29,5203,109.0,0.005000114440917969
30,5254,109.0,0.005000114440917969
31,5306,109.0,0.005000114440917969
32,6318,108.0,0.006000041961669922
33,6369,109.0,0.006000041961669922
34,6446,110.0,0.006000041961669922
35,6548,108.0,0.006000041961669922
36,6625,108.0,0.006999969482421875
37,6678,108.0,0.006999969482421875
38,6731,108.0,0.006999969482421875
39,6782,108.0,0.006999969482421875
40,6860,108.0,0.006999969482421875
41,6912,108.0,0.006999969482421875
42,7015,108.0,0.006999969482421875
43,7067,108.0,0.006999969482421875
44,7119,108.0,0.006999969482421875
45,7172,108.0,0.006999969482421875
46,7273,108.0,0.006999969482421875
47,7324,108.0,0.006999969482421875
48,7424,108.0,0.006999969482421875
49,7477,108.0,0.006999969482421875
50,7555,108.0,0.00800013542175293
51,7607,108.0,0.00800013542175293
52,7660,108.0,0.00800013542175293
53,7739,108.0,0.00800013542175293
54,7976,108.0,0.00800013542175293
55,8366,108.0,0.00800013542175293
56,8601,108.0,0.00800013542175293
57,8678,108.0,0.009000062942504883
58,9063,108.0,0.009000062942504883
59,9297,108.0,0.009000062942504883
60,9349,108.0,0.009000062942504883
61,9479,108.0,0.009000062942504883
62,9531,108.0,0.009000062942504883
63,9584,108.0,0.009000062942504883
64,9635,108.0,0.009000062942504883
65,9687,108.0,0.009000062942504883
66,9738,108.0,0.009000062942504883
67,9792,108.0,0.009999990463256836
68,9871,108.0,0.009999990463256836
69,9921,108.0,0.009999990463256836
70,9974,108.0,0.009999990463256836
71,10156,108.0,0.009999990463256836
72,10337,108.0,0.009999990463256836
73,10414,108.0,0.009999990463256836
74,10464,108.0,0.009999990463256836
75,10515,108.0,0.009999990463256836
76,10567,108.0,0.009999990463256836
77,10620,108.0,0.009999990463256836
78,10671,108.0,0.009999990463256836
79,10748,109.0,0.01100015640258789
80,10828,109.0,0.01100015640258789
81,10905,108.0,0.01100015640258789
82,10957,109.0,0.01100015640258789
83,11035,108.0,0.01100015640258789
84,11191,108.0,0.01100015640258789
85,11271,108.0,0.01100015640258789
86,11427,108.0,0.01100015640258789
87,11477,108.0,0.01100015640258789
88,11528,108.0,0.01100015640258789
89,11683,108.0,0.01100015640258789
90,11919,108.0,0.01100015640258789
91,12048,108.0,0.012000083923339844
92,12230,108.0,0.012000083923339844
93,12438,108.0,0.012000083923339844
94,12594,108.0,0.012000083923339844
95,12646,108.0,0.012000083923339844
96,12698,108.0,0.012000083923339844
97,12750,108.0,0.012000083923339844
98,12803,108.0,0.012000083923339844
99,12854,108.0,0.012000083923339844
100,12906,108.0,0.012000083923339844
101,12959,108.0,0.012000083923339844
102,12984,108.0,0.012000083923339844
103,13010,108.0,0.012000083923339844
104,13036,108.0,0.012000083923339844
105,13062,108.0,0.012000083923339844
106,13088,108.0,0.012000083923339844
107,13113,108.0,0.012000083923339844
108,13139,108.0,0.012000083923339844
109,13164,108.0,0.013000011444091797
110,13190,108.0,0.013000011444091797
111,13216,108.0,0.013000011444091797
112,13242,108.0,0.013000011444091797
113,13268,108.0,0.013000011444091797
114,13294,108.0,0.013000011444091797
115,13319,108.0,0.013000011444091797
116,13344,108.0,0.013000011444091797
117,13370,108.0,0.013000011444091797
118,13397,108.0,0.013000011444091797
119,13424,108.0,0.013000011444091797
120,13450,108.0,0.013000011444091797
121,13477,108.0,0.013000011444091797
122,13504,108.0,0.013000011444091797
123,13530,108.0,0.013000011444091797
124,13556,108.0,0.013000011444091797
125,13581,108.0,0.013000011444091797
126,13607,108.0,0.013000011444091797
127,13633,108.0,0.013000011444091797
128,13659,108.0,0.013000011444091797
129,13685,108.0,0.013000011444091797
130,13711,108.0,0.013000011444091797
131,13738,108.0,0.013000011444091797
132,13764,108.0,0.013000011444091797
133,13790,108.0,0.013000011444091797
134,13817,108.0,0.013000011444091797
135,13843,108.0,0.013000011444091797
136,13870,108.0,0.013000011444091797
137,13896,108.0,0.013000011444091797
138,13921,108.0,0.013000011444091797
139,13947,108.0,0.013000011444091797
140,13972,108.0,0.013000011444091797
141,13999,108.0,0.013000011444091797
142,14024,108.0,0.013000011444091797
143,14050,108.0,0.013000011444091797
144,14076,108.0,0.013000011444091797
145,14101,108.0,0.013000011444091797
146,14128,108.0,0.013000011444091797
147,14154,108.0,0.013000011444091797
148,14181,108.0,0.013000011444091797
149,14208,108.0,0.013000011444091797
150,14234,108.0,0.014000177383422852
151,14260,108.0,0.014000177383422852
152,14286,108.0,0.014000177383422852
153,14313,108.0,0.014000177383422852
154,14339,108.0,0.014000177383422852
155,14364,108.0,0.014000177383422852
156,14390,108.0,0.014000177383422852
157,14417,108.0,0.014000177383422852
158,14444,108.0,0.014000177383422852
159,14470,108.0,0.014000177383422852
160,14496,109.0,0.014000177383422852
161,14521,109.0,0.014000177383422852
162,14547,109.0,0.014000177383422852
163,14573,109.0,0.014000177383422852
164,14598,109.0,0.014000177383422852
165,14623,108.0,0.014000177383422852
166,14648,108.0,0.014000177383422852
167,14674,109.0,0.014000177383422852
168,14700,109.0,0.014000177383422852
169,14726,109.0,0.014000177383422852
170,14751,109.0,0.014000177383422852
171,14778,109.0,0.014000177383422852
172,14803,108.0,0.014000177383422852
173,14829,108.0,0.014000177383422852
174,14856,108.0,0.014000177383422852
175,14882,108.0,0.014000177383422852
176,14908,108.0,0.014000177383422852
177,14933,108.0,0.014000177383422852
178,14959,108.0,0.014000177383422852
179,14985,108.0,0.014000177383422852
180,15011,108.0,0.014000177383422852
181,15037,108.0,0.014000177383422852
182,15062,108.0,0.014000177383422852
183,15087,108.0,0.014000177383422852
184,15114,108.0,0.014000177383422852
185,15140,108.0,0.014000177383422852
186,15166,108.0,0.014000177383422852
187,15191,108.0,0.014000177383422852
188,15217,108.0,0.014000177383422852
189,15243,109.0,0.015000104904174805
190,15269,109.0,0.015000104904174805
191,15295,108.0,0.015000104904174805
192,15322,108.0,0.015000104904174805
193,15348,108.0,0.015000104904174805
194,15375,108.0,0.015000104904174805
195,15402,108.0,0.015000104904174805
196,15429,108.0,0.015000104904174805
197,15454,108.0,0.015000104904174805
198,15479,108.0,0.015000104904174805
199,15504,108.0,0.015000104904174805
200,15530,108.0,0.015000104904174805
201,15556,108.0,0.015000104904174805
202,15583,108.0,0.015000104904174805
203,15609,108.0,0.015000104904174805
204,15636,108.0,0.015000104904174805
205,15661,108.0,0.015000104904174805
206,15687,108.0,0.015000104904174805
207,15713,108.0,0.015000104904174805
