iters,fevals,fitness,time
0,600,117.0,0.10700011253356934
1,1500,116.0,0.20200014114379883
2,2400,115.0,0.2690000534057617
3,3300,116.0,0.3300001621246338
4,4200,118.0,0.4160001277923584
5,5400,115.0,0.5240001678466797
6,6600,120.0,0.6030001640319824
7,8700,129.0,0.7650001049041748
8,10800,126.0,0.9079999923706055
9,12000,128.0,0.9820001125335693
10,12900,130.0,1.0280001163482666
11,13800,133.0,1.0850000381469727
12,14700,127.0,1.1770000457763672
13,15600,127.0,1.2870001792907715
14,16500,127.0,1.3900001049041748
15,17400,126.0,1.504000186920166
16,18300,126.0,1.5850000381469727
17,19200,127.0,1.6730000972747803
18,20100,130.0,1.812999963760376
19,21000,128.0,1.946000099182129
20,21900,127.0,2.0260000228881836
21,22800,130.0,2.0789999961853027
22,23700,126.0,2.17900013923645
23,24600,128.0,2.2829999923706055
24,25500,131.0,2.7210001945495605
25,26400,129.0,3.055000066757202
26,27300,126.0,3.373000144958496
27,28200,130.0,3.4650001525878906
28,29100,129.0,3.506999969482422
29,30000,130.0,3.5490000247955322
30,30900,131.0,3.5880000591278076
31,31800,131.0,3.625
32,32700,131.0,3.6620001792907715
33,33600,125.0,3.699000120162964
34,34500,131.0,3.7350001335144043
35,35400,130.0,3.7720000743865967
36,36300,126.0,3.814000129699707
37,37200,130.0,3.867000102996826
38,38100,130.0,3.9240000247955322
39,39000,129.0,3.9720001220703125
40,39900,125.0,4.011000156402588
41,40800,127.0,4.047000169754028
42,41700,125.0,4.082000017166138
43,42600,125.0,4.118000030517578
44,43500,125.0,4.1540000438690186
45,44400,129.0,4.190000057220459
46,45300,125.0,4.228000164031982
47,46200,130.0,4.263000011444092
48,47100,129.0,4.300000190734863
49,48000,127.0,4.338000059127808
50,48900,130.0,4.378000020980835
51,49800,130.0,4.416000127792358
52,50700,126.0,4.452000141143799
53,51600,129.0,4.488000154495239
54,52500,130.0,4.52400016784668
55,53400,128.0,4.558000087738037
56,54300,128.0,4.5920000076293945
57,55200,126.0,4.626000165939331
58,56100,128.0,4.6620001792907715
59,57000,130.0,4.697000026702881
60,57900,128.0,4.733000040054321
61,58800,126.0,4.767000198364258
62,59700,124.0,4.80400013923645
63,60600,126.0,4.841000080108643
64,61500,128.0,4.877000093460083
65,62400,124.0,4.914000034332275
66,63300,128.0,4.947000026702881
67,64200,128.0,4.980000019073486
68,65100,128.0,5.014000177383423
69,66000,128.0,5.04800009727478
70,66900,128.0,5.082000017166138
71,67800,126.0,5.117000102996826
72,68700,124.0,5.151000022888184
73,69600,126.0,5.18500018119812
74,70500,126.0,5.2190001010894775
75,71400,126.0,5.255000114440918
76,72300,126.0,5.289000034332275
77,73200,128.0,5.325000047683716
78,74100,130.0,5.360000133514404
79,75000,128.0,5.400000095367432
80,75900,126.0,5.436000108718872
81,76800,126.0,5.4700000286102295
82,77700,128.0,5.503000020980835
83,78600,123.0,5.5370001792907715
84,79500,124.0,5.573000192642212
85,80400,124.0,5.608000040054321
86,81300,126.0,5.642000198364258
87,82200,126.0,5.675000190734863
88,83100,128.0,5.709000110626221
89,84000,124.0,5.742000102996826
90,84900,124.0,5.775000095367432
91,85800,124.0,5.809000015258789
92,86700,124.0,5.8470001220703125
93,87600,125.0,5.881999969482422
94,88500,124.0,5.916000127792358
95,89400,125.0,5.950000047683716
96,90300,124.0,5.982000112533569
97,91200,125.0,6.015000104904175
98,92100,125.0,6.047000169754028
99,93000,125.0,6.080000162124634
100,93900,126.0,6.113000154495239
101,94800,125.0,6.146000146865845
102,95700,127.0,6.177999973297119
103,96600,128.0,6.212000131607056
104,97500,126.0,6.244000196456909
105,98400,128.0,6.277000188827515
106,99300,122.0,6.311000108718872
107,100200,126.0,6.348999977111816
108,101100,121.0,6.383000135421753
109,102000,126.0,6.41700005531311
