iters,fevals,fitness,time
0,200,115.0,0.0559999942779541
1,500,121.0,0.0969998836517334
2,1300,123.0,0.19700002670288086
3,1600,120.0,0.2349998950958252
4,2000,120.0,0.31799983978271484
5,2300,121.0,0.3680000305175781
6,2600,122.0,0.4089999198913574
7,2900,123.0,0.45399999618530273
8,3200,120.0,0.4809999465942383
9,3500,123.0,0.5119998455047607
10,3800,121.0,0.5360000133514404
11,4100,123.0,0.559999942779541
12,4400,123.0,0.5809998512268066
13,4700,123.0,0.6069998741149902
14,5000,120.0,0.6399998664855957
15,5300,120.0,0.6619999408721924
16,5600,120.0,0.682999849319458
17,5900,122.0,0.7089998722076416
18,6200,121.0,0.7360000610351562
19,6500,121.0,0.7609999179840088
20,6800,121.0,0.7829999923706055
21,7100,122.0,0.815000057220459
22,7400,121.0,0.8810000419616699
23,7700,123.0,0.9059998989105225
24,8000,121.0,0.9249999523162842
25,8300,125.0,0.9500000476837158
26,8600,120.0,0.9879999160766602
27,8900,121.0,1.0179998874664307
28,9200,120.0,1.0460000038146973
29,9500,122.0,1.062000036239624
30,9800,121.0,1.0829999446868896
31,10100,123.0,1.0989999771118164
32,10400,123.0,1.1150000095367432
33,10700,120.0,1.13100004196167
34,11000,121.0,1.1659998893737793
35,11300,120.0,1.1959998607635498
36,11600,122.0,1.2230000495910645
37,11900,123.0,1.253000020980835
38,12200,123.0,1.2829999923706055
39,12500,124.0,1.3050000667572021
40,12800,123.0,1.3359999656677246
41,13100,126.0,1.363999843597412
42,13400,121.0,1.4019999504089355
43,13700,121.0,1.6429998874664307
44,14000,120.0,1.8009998798370361
45,14300,123.0,1.9879999160766602
46,14600,121.0,2.128000020980835
47,14900,123.0,2.174999952316284
48,15200,123.0,2.243000030517578
49,15500,122.0,2.2920000553131104
50,15800,122.0,2.3429999351501465
51,16100,123.0,2.382999897003174
52,16400,123.0,2.421999931335449
53,16700,120.0,2.4630000591278076
54,17000,123.0,2.497999906539917
55,17300,121.0,2.546999931335449
56,17600,125.0,2.5950000286102295
57,17900,125.0,2.672999858856201
58,18200,124.0,2.7009999752044678
59,18500,121.0,2.7179999351501465
60,18800,122.0,2.740000009536743
61,19100,120.0,2.757999897003174
62,19400,120.0,2.7730000019073486
63,19700,121.0,2.7960000038146973
64,20000,122.0,2.813999891281128
65,20300,127.0,2.8259999752044678
66,20600,121.0,2.8429999351501465
67,20900,122.0,2.8539998531341553
68,21200,122.0,2.863999843597412
69,21500,127.0,2.873999834060669
70,21800,121.0,2.885999917984009
71,22100,121.0,2.9010000228881836
72,22400,121.0,2.9099998474121094
73,22700,121.0,2.9210000038146973
74,23000,121.0,2.932999849319458
75,23300,122.0,2.944000005722046
76,23600,120.0,2.9539999961853027
77,23900,120.0,2.9639999866485596
78,24200,122.0,2.9730000495910645
79,24500,121.0,2.986999988555908
80,24800,122.0,2.997999906539917
81,25100,121.0,3.007999897003174
82,25400,120.0,3.0190000534057617
83,25700,123.0,3.0290000438690186
84,26000,122.0,3.044999837875366
85,26300,121.0,3.055000066757202
86,26600,120.0,3.065999984741211
87,26900,120.0,3.0759999752044678
88,27200,120.0,3.0909998416900635
89,27500,122.0,3.1019999980926514
90,27800,122.0,3.113999843597412
91,28100,122.0,3.123999834060669
92,28400,122.0,3.138000011444092
93,28700,120.0,3.1589999198913574
94,29000,122.0,3.169999837875366
95,29300,121.0,3.184999942779541
96,29600,122.0,3.197000026702881
97,29900,120.0,3.2079999446868896
98,30200,120.0,3.2179999351501465
99,30500,120.0,3.2279999256134033
100,30800,121.0,3.246000051498413
101,31100,120.0,3.25600004196167
102,31400,122.0,3.2660000324249268
103,31700,122.0,3.2779998779296875
104,32000,120.0,3.2909998893737793
105,32300,122.0,3.302000045776367
106,32600,120.0,3.312000036239624
107,32900,122.0,3.322000026702881
108,33200,121.0,3.3329999446868896
109,33500,121.0,3.3439998626708984
110,33800,121.0,3.3539998531341553
111,34100,120.0,3.365000009536743
112,34400,120.0,3.375
113,34700,123.0,3.388000011444092
114,35000,120.0,3.3980000019073486
115,35300,121.0,3.4079999923706055
116,35600,121.0,3.4189999103546143
117,35900,121.0,3.428999900817871
118,36200,122.0,3.438999891281128
119,36500,121.0,3.447999954223633
120,36800,122.0,3.4579999446868896
121,37100,121.0,3.4670000076293945
122,37400,123.0,3.4769999980926514
123,37700,123.0,3.486999988555908
124,38000,121.0,3.496999979019165
125,38300,120.0,3.50600004196167
126,38600,122.0,3.5160000324249268
127,38900,122.0,3.5249998569488525
128,39200,122.0,3.5339999198913574
129,39500,123.0,3.5429999828338623
130,39800,122.0,3.552999973297119
131,40100,120.0,3.565000057220459
132,40400,121.0,3.5739998817443848
133,40700,121.0,3.5839998722076416
134,41000,123.0,3.5939998626708984
135,41400,123.0,3.6059999465942383
136,41700,124.0,3.616999864578247
137,42000,123.0,3.625999927520752
138,42300,122.0,3.634999990463257
139,42600,123.0,3.6440000534057617
140,42900,122.0,3.6529998779296875
141,43200,122.0,3.6619999408721924
142,43500,123.0,3.6710000038146973
143,43800,123.0,3.680000066757202
144,44100,123.0,3.688999891281128
145,44400,124.0,3.697999954223633
146,44700,123.0,3.7070000171661377
147,45000,122.0,3.7159998416900635
148,45300,121.0,3.7239999771118164
149,45600,121.0,3.7319998741149902
150,45900,122.0,3.740999937057495
151,46200,123.0,3.748999834060669
152,46500,123.0,3.757999897003174
153,46800,123.0,3.7669999599456787
154,47100,122.0,3.7760000228881836
155,47400,122.0,3.7839999198913574
156,47700,122.0,3.7929999828338623
157,48000,125.0,3.800999879837036
158,48300,121.0,3.809999942779541
159,48600,121.0,3.819000005722046
160,48900,124.0,3.8269999027252197
161,49200,123.0,3.8359999656677246
162,49500,121.0,3.8450000286102295
163,49800,121.0,3.8539998531341553
164,50100,123.0,3.86299991607666
165,50400,122.0,3.872999906539917
166,50700,121.0,3.881999969482422
167,51000,121.0,3.8910000324249268
168,51300,123.0,3.8999998569488525
169,51600,122.0,3.9079999923706055
170,51900,122.0,3.9170000553131104
171,52200,123.0,3.925999879837036
172,52500,123.0,3.935999870300293
173,52800,123.0,3.944999933242798
174,53300,125.0,3.9639999866485596
175,53600,125.0,3.9730000495910645
176,54000,126.0,3.986999988555908
177,54300,126.0,3.996000051498413
178,54600,126.0,4.004999876022339
179,54900,127.0,4.014999866485596
180,55200,127.0,4.023999929428101
181,55500,127.0,4.0329999923706055
182,55800,126.0,4.04200005531311
183,56100,127.0,4.050999879837036
184,56400,126.0,4.059000015258789
185,56700,127.0,4.067999839782715
186,57000,125.0,4.07699990272522
187,57300,134.0,4.085999965667725
188,57600,125.0,4.0950000286102295
189,57900,125.0,4.103999853134155
190,58200,125.0,4.111999988555908
191,58500,126.0,4.122999906539917
192,58800,125.0,4.134999990463257
193,59100,126.0,4.144999980926514
194,59400,128.0,4.1540000438690186
195,59700,128.0,4.162999868392944
196,60000,127.0,4.171999931335449
197,60300,125.0,4.184000015258789
198,60600,125.0,4.197000026702881
199,60900,125.0,4.204999923706055
200,61200,125.0,4.21399998664856
201,61500,128.0,4.224999904632568
202,61800,126.0,4.247999906539917
203,62100,125.0,4.259999990463257
204,62400,125.0,4.273999929428101
205,62700,125.0,4.284999847412109
206,63000,125.0,4.296999931335449
207,63300,127.0,4.305999994277954
208,63600,126.0,4.315000057220459
209,63900,125.0,4.323999881744385
210,64200,133.0,4.335999965667725
211,64500,126.0,4.348999977111816
212,64800,125.0,4.358000040054321
213,65100,126.0,4.368000030517578
214,65400,126.0,4.376999855041504
215,65700,133.0,4.388000011444092
216,66000,125.0,4.398999929428101
217,66300,126.0,4.408999919891357
218,66600,128.0,4.418999910354614
219,66900,126.0,4.428999900817871
220,67200,129.0,4.440000057220459
221,67500,125.0,4.450999975204468
222,67800,126.0,4.460000038146973
223,68100,126.0,4.4679999351501465
224,68400,126.0,4.476999998092651
225,68700,125.0,4.484999895095825
226,69000,125.0,4.493000030517578
227,69300,126.0,4.500999927520752
228,69600,126.0,4.509999990463257
229,69900,126.0,4.517999887466431
230,70200,127.0,4.5279998779296875
231,70500,127.0,4.539000034332275
232,70800,126.0,4.547999858856201
233,71100,126.0,4.557999849319458
234,71400,126.0,4.566999912261963
235,71800,126.0,4.578999996185303
236,72100,127.0,4.588000059127808
237,72400,126.0,4.5959999561309814
238,72700,127.0,4.605000019073486
239,73000,127.0,4.613999843597412
240,73300,126.0,4.621999979019165
241,73600,127.0,4.63100004196167
242,73900,127.0,4.638999938964844
243,74200,127.0,4.648000001907349
244,74400,127.0,4.6519999504089355
245,74600,127.0,4.6570000648498535
246,74800,127.0,4.661999940872192
247,75000,127.0,4.66700005531311
248,75200,127.0,4.671000003814697
249,75400,127.0,4.677000045776367
250,75600,129.0,4.682999849319458
251,75800,127.0,4.687999963760376
252,76000,127.0,4.691999912261963
253,76200,127.0,4.697000026702881
254,76400,127.0,4.70199990272522
255,76600,126.0,4.707000017166138
256,76800,126.0,4.710999965667725
257,77000,127.0,4.7159998416900635
258,77200,126.0,4.7209999561309814
259,77400,126.0,4.72599983215332
260,77600,126.0,4.730000019073486
261,77800,126.0,4.734999895095825
262,78000,127.0,4.740000009536743
263,78200,127.0,4.74399995803833
264,78400,127.0,4.748999834060669
265,78600,127.0,4.753000020980835
266,78800,128.0,4.757999897003174
267,79000,127.0,4.763000011444092
268,79200,127.0,4.767999887466431
269,79400,126.0,4.773000001907349
270,79600,127.0,4.7769999504089355
271,79800,126.0,4.7820000648498535
272,80000,127.0,4.786999940872192
273,80200,127.0,4.79200005531311
274,80400,126.0,4.796000003814697
275,80600,127.0,4.799999952316284
276,80800,127.0,4.805000066757202
277,81000,127.0,4.809000015258789
278,81200,127.0,4.813999891281128
279,81400,127.0,4.819000005722046
280,81600,127.0,4.822999954223633
281,81800,127.0,4.827999830245972
282,82000,127.0,4.832000017166138
283,82200,127.0,4.836999893188477
284,82400,127.0,4.8420000076293945
285,82600,128.0,4.8459999561309814
286,82800,128.0,4.85099983215332
287,83000,128.0,4.855000019073486
288,83200,128.0,4.858999967575073
289,83400,128.0,4.863999843597412
290,83600,128.0,4.868000030517578
291,83800,128.0,4.872999906539917
292,84000,128.0,4.876999855041504
293,84200,129.0,4.881999969482422
294,84400,128.0,4.885999917984009
295,84600,132.0,4.891000032424927
296,84800,132.0,4.894999980926514
297,85000,132.0,4.8999998569488525
298,85200,132.0,4.9040000438690186
299,85400,128.0,4.9079999923706055
300,85600,132.0,4.912999868392944
301,85800,132.0,4.917999982833862
302,86000,130.0,4.921999931335449
303,86200,132.0,4.927000045776367
304,86400,132.0,4.930999994277954
305,86600,128.0,4.935999870300293
306,86800,129.0,4.940999984741211
307,87000,133.0,4.944999933242798
308,87200,129.0,4.950999975204468
309,87400,128.0,4.954999923706055
310,87600,132.0,4.960000038146973
311,87800,128.0,4.96399998664856
312,88000,128.0,4.9679999351501465
313,88200,128.0,4.9730000495910645
314,88400,128.0,4.976999998092651
315,88600,128.0,4.98199987411499
316,88800,128.0,4.986000061035156
317,89000,132.0,4.990999937057495
318,89200,128.0,4.994999885559082
319,89400,128.0,4.998999834060669
320,89600,128.0,5.003999948501587
321,89800,128.0,5.007999897003174
322,90000,128.0,5.011999845504761
323,90200,128.0,5.016999959945679
324,90400,128.0,5.020999908447266
325,90600,132.0,5.026000022888184
326,90800,128.0,5.0299999713897705
327,91000,132.0,5.033999919891357
328,91200,132.0,5.039000034332275
329,91400,128.0,5.043999910354614
330,91600,129.0,5.047999858856201
331,91800,132.0,5.052999973297119
332,92000,132.0,5.056999921798706
333,92200,130.0,5.062000036239624
334,92400,132.0,5.066999912261963
335,92600,129.0,5.07099986076355
336,92800,132.0,5.075999975204468
337,93000,129.0,5.079999923706055
338,93200,128.0,5.085000038146973
339,93400,129.0,5.08899998664856
340,93600,129.0,5.0929999351501465
341,93800,132.0,5.0980000495910645
342,94000,128.0,5.102999925613403
343,94200,128.0,5.10699987411499
344,94400,128.0,5.111999988555908
345,94600,128.0,5.115999937057495
346,94800,129.0,5.121000051498413
347,95000,128.0,5.125
348,95200,128.0,5.129999876022339
349,95400,132.0,5.134000062942505
350,95600,128.0,5.138000011444092
351,95800,128.0,5.142999887466431
352,96000,128.0,5.148000001907349
353,96200,128.0,5.1519999504089355
354,96400,129.0,5.1570000648498535
355,96600,129.0,5.161999940872192
356,96800,132.0,5.165999889373779
357,97000,128.0,5.171000003814697
358,97200,128.0,5.175999879837036
359,97400,129.0,5.180000066757202
360,97600,133.0,5.184000015258789
361,97800,132.0,5.188999891281128
362,98000,130.0,5.192999839782715
363,98200,130.0,5.197999954223633
364,98400,130.0,5.20199990272522
365,98600,130.0,5.205999851226807
366,98800,130.0,5.210000038146973
367,99000,130.0,5.2149999141693115
368,99200,130.0,5.218999862670898
369,99400,130.0,5.2230000495910645
370,99600,133.0,5.227999925613403
371,99800,133.0,5.23199987411499
372,100000,133.0,5.236000061035156
373,100200,129.0,5.240000009536743
374,100400,129.0,5.244999885559082
375,100600,129.0,5.248999834060669
376,100800,131.0,5.253000020980835
377,101000,129.0,5.257999897003174
378,101200,130.0,5.261999845504761
379,101400,133.0,5.266000032424927
380,101600,129.0,5.270999908447266
381,101800,131.0,5.2749998569488525
382,102000,129.0,5.2799999713897705
383,102200,130.0,5.283999919891357
384,102400,130.0,5.293999910354614
385,102600,129.0,5.302999973297119
386,102800,130.0,5.312999963760376
387,103000,130.0,5.319000005722046
388,103200,133.0,5.322999954223633
389,103400,130.0,5.327999830245972
390,103600,131.0,5.33299994468689
391,103800,129.0,5.336999893188477
392,104000,129.0,5.3409998416900635
393,104200,129.0,5.3459999561309814
394,104400,129.0,5.349999904632568
395,104600,129.0,5.353999853134155
396,104800,129.0,5.358999967575073
397,105000,133.0,5.36299991607666
398,105200,130.0,5.366999864578247
399,105400,129.0,5.371999979019165
400,105600,130.0,5.375999927520752
401,105800,133.0,5.379999876022339
402,106000,129.0,5.384999990463257
403,106200,129.0,5.388999938964844
404,106400,129.0,5.392999887466431
405,106600,130.0,5.398000001907349
406,106800,131.0,5.4019999504089355
407,107000,134.0,5.4070000648498535
408,107200,130.0,5.411999940872192
409,107400,130.0,5.41700005531311
410,107600,130.0,5.421000003814697
411,107800,134.0,5.425999879837036
412,108000,134.0,5.430000066757202
413,108200,134.0,5.434999942779541
414,108400,136.0,5.438999891281128
415,108600,134.0,5.444000005722046
416,108800,134.0,5.447999954223633
417,109000,134.0,5.452999830245972
418,109200,137.0,5.45799994468689
419,109400,133.0,5.461999893188477
420,109600,130.0,5.4670000076293945
421,109800,129.0,5.4709999561309814
422,110000,129.0,5.474999904632568
423,110200,130.0,5.480000019073486
424,110400,131.0,5.483999967575073
425,110600,130.0,5.488999843597412
426,110800,131.0,5.493000030517578
427,111000,130.0,5.496999979019165
428,111200,129.0,5.501999855041504
429,111400,130.0,5.506999969482422
430,111600,129.0,5.510999917984009
431,111800,129.0,5.516000032424927
432,112000,131.0,5.520999908447266
433,112200,129.0,5.526000022888184
434,112400,130.0,5.5299999713897705
435,112600,130.0,5.533999919891357
436,112800,130.0,5.539000034332275
437,113000,130.0,5.543999910354614
438,113200,130.0,5.547999858856201
439,113400,131.0,5.552999973297119
440,113600,133.0,5.556999921798706
441,113800,129.0,5.562000036239624
442,114000,133.0,5.566999912261963
443,114200,129.0,5.572000026702881
444,114400,130.0,5.57699990272522
445,114600,129.0,5.582000017166138
446,114800,130.0,5.586999893188477
447,115000,131.0,5.5909998416900635
448,115200,132.0,5.5959999561309814
449,115400,132.0,5.60099983215332
450,115600,131.0,5.605999946594238
451,115800,131.0,5.611000061035156
452,116000,129.0,5.616999864578247
453,116200,130.0,5.621999979019165
454,116400,131.0,5.626999855041504
455,116600,130.0,5.631999969482422
456,116800,130.0,5.635999917984009
457,117000,132.0,5.641999959945679
458,117200,131.0,5.646999835968018
459,117400,132.0,5.6519999504089355
460,117600,132.0,5.6570000648498535
461,117800,133.0,5.661999940872192
462,118000,132.0,5.665999889373779
463,118200,132.0,5.671000003814697
464,118400,132.0,5.677000045776367
465,118600,132.0,5.682999849319458
466,118800,132.0,5.687999963760376
467,119000,130.0,5.692999839782715
468,119200,130.0,5.697000026702881
469,119400,130.0,5.70199990272522
470,119600,129.0,5.705999851226807
471,119800,129.0,5.710999965667725
472,120000,130.0,5.7149999141693115
473,120200,130.0,5.7200000286102295
474,120400,129.0,5.724999904632568
475,120600,129.0,5.728999853134155
