iters,fevals,fitness,time
0,2,106.0,0.006000041961669922
1,4,106.0,0.00800013542175293
2,6,106.0,0.009000062942504883
3,8,106.0,0.009000062942504883
4,11,107.0,0.009000062942504883
5,13,107.0,0.009999990463256836
6,15,107.0,0.009999990463256836
7,17,107.0,0.009999990463256836
8,19,107.0,0.009999990463256836
9,21,107.0,0.009999990463256836
10,23,107.0,0.01100015640258789
11,25,107.0,0.01100015640258789
12,27,107.0,0.01100015640258789
13,29,107.0,0.01100015640258789
14,31,107.0,0.012000083923339844
15,33,107.0,0.012000083923339844
16,35,107.0,0.014000177383422852
17,37,107.0,0.014000177383422852
18,39,107.0,0.014000177383422852
19,41,107.0,0.014000177383422852
20,43,107.0,0.015000104904174805
21,45,107.0,0.015000104904174805
22,47,107.0,0.015000104904174805
23,49,107.0,0.016000032424926758
24,51,107.0,0.016000032424926758
25,53,107.0,0.016000032424926758
26,56,110.0,0.01699995994567871
27,58,110.0,0.01699995994567871
28,60,110.0,0.01699995994567871
29,62,110.0,0.01699995994567871
30,64,110.0,0.018000125885009766
31,66,110.0,0.018000125885009766
32,68,110.0,0.018000125885009766
33,70,110.0,0.018000125885009766
34,72,110.0,0.01900005340576172
35,74,110.0,0.01900005340576172
36,76,110.0,0.01900005340576172
37,78,110.0,0.019999980926513672
38,80,110.0,0.019999980926513672
39,82,110.0,0.019999980926513672
40,84,110.0,0.019999980926513672
41,86,110.0,0.021000146865844727
42,88,110.0,0.021000146865844727
43,90,110.0,0.021000146865844727
44,92,110.0,0.021000146865844727
45,94,110.0,0.021000146865844727
46,96,110.0,0.02200007438659668
47,98,110.0,0.02200007438659668
48,100,110.0,0.02200007438659668
49,102,110.0,0.02200007438659668
50,104,110.0,0.02200007438659668
51,106,110.0,0.02200007438659668
52,108,110.0,0.023000001907348633
53,110,110.0,0.023000001907348633
54,112,110.0,0.023000001907348633
55,114,110.0,0.023000001907348633
56,116,110.0,0.023000001907348633
57,118,110.0,0.023000001907348633
58,120,110.0,0.024000167846679688
59,122,110.0,0.024000167846679688
60,124,110.0,0.024000167846679688
61,126,110.0,0.024000167846679688
62,128,110.0,0.024000167846679688
63,130,110.0,0.024000167846679688
64,132,110.0,0.02500009536743164
65,134,110.0,0.02500009536743164
66,136,110.0,0.02500009536743164
67,138,110.0,0.02500009536743164
68,140,110.0,0.02500009536743164
69,142,110.0,0.02500009536743164
70,144,110.0,0.026000022888183594
71,146,110.0,0.026000022888183594
72,148,110.0,0.026000022888183594
73,150,110.0,0.026000022888183594
74,152,110.0,0.026000022888183594
75,154,110.0,0.026000022888183594
76,156,110.0,0.026999950408935547
77,158,110.0,0.026999950408935547
78,160,110.0,0.026999950408935547
79,162,110.0,0.026999950408935547
80,164,110.0,0.026999950408935547
81,166,110.0,0.026999950408935547
82,168,110.0,0.026999950408935547
83,170,110.0,0.0280001163482666
84,172,110.0,0.0280001163482666
85,174,110.0,0.0280001163482666
86,176,110.0,0.0280001163482666
87,178,110.0,0.0280001163482666
88,180,110.0,0.0280001163482666
89,182,110.0,0.0280001163482666
90,184,110.0,0.0280001163482666
91,186,110.0,0.0280001163482666
92,188,110.0,0.029000043869018555
93,190,110.0,0.029000043869018555
94,192,110.0,0.029000043869018555
95,194,110.0,0.029000043869018555
96,196,110.0,0.029000043869018555
97,198,110.0,0.029000043869018555
98,200,110.0,0.029000043869018555
99,202,110.0,0.029000043869018555
100,204,110.0,0.029000043869018555
101,206,110.0,0.029999971389770508
102,208,110.0,0.029999971389770508
103,210,110.0,0.029999971389770508
104,212,110.0,0.029999971389770508
105,214,110.0,0.029999971389770508
106,216,110.0,0.029999971389770508
107,218,110.0,0.029999971389770508
108,220,110.0,0.029999971389770508
109,222,110.0,0.029999971389770508
110,224,110.0,0.029999971389770508
111,226,110.0,0.031000137329101562
112,228,110.0,0.031000137329101562
113,230,110.0,0.031000137329101562
114,232,110.0,0.031000137329101562
115,234,110.0,0.031000137329101562
116,236,110.0,0.031000137329101562
117,238,110.0,0.031000137329101562
118,240,110.0,0.031000137329101562
119,242,110.0,0.031000137329101562
120,244,110.0,0.032000064849853516
121,246,110.0,0.032000064849853516
122,248,110.0,0.032000064849853516
123,250,110.0,0.032000064849853516
124,252,110.0,0.03299999237060547
125,254,110.0,0.03299999237060547
126,256,110.0,0.03299999237060547
127,258,110.0,0.03299999237060547
128,260,110.0,0.03400015830993652
129,262,110.0,0.03400015830993652
130,264,110.0,0.03400015830993652
131,266,110.0,0.03400015830993652
132,268,110.0,0.03400015830993652
133,270,110.0,0.03400015830993652
134,272,110.0,0.03500008583068848
135,274,110.0,0.03500008583068848
136,276,110.0,0.03600001335144043
137,278,110.0,0.03600001335144043
138,280,110.0,0.03600001335144043
139,282,110.0,0.03600001335144043
140,284,110.0,0.03600001335144043
141,286,110.0,0.037000179290771484
142,288,110.0,0.037000179290771484
143,290,110.0,0.037000179290771484
144,292,110.0,0.037000179290771484
145,294,110.0,0.037000179290771484
146,296,110.0,0.037000179290771484
147,298,110.0,0.03800010681152344
148,300,110.0,0.03800010681152344
149,302,110.0,0.03800010681152344
150,304,110.0,0.03800010681152344
