iters,fevals,fitness,time
0,20735,116.0,0.2390000820159912
1,36181,119.0,0.27699995040893555
2,46430,123.0,0.2990000247955322
3,58402,125.0,0.31800007820129395
4,78664,124.0,0.3600001335144043
5,78823,124.0,0.36100006103515625
6,78978,124.0,0.36100006103515625
7,79134,124.0,0.36100006103515625
8,79290,124.0,0.3619999885559082
9,79448,124.0,0.3619999885559082
10,79605,124.0,0.36299991607666016
11,79762,124.0,0.36299991607666016
12,79921,124.0,0.36299991607666016
13,80078,124.0,0.36299991607666016
14,80237,124.0,0.3640000820159912
15,80395,125.0,0.3640000820159912
16,80552,125.0,0.36500000953674316
17,80705,125.0,0.36500000953674316
18,80862,124.0,0.36500000953674316
19,81021,124.0,0.3659999370574951
20,81179,125.0,0.3659999370574951
21,81334,125.0,0.3659999370574951
22,81491,125.0,0.36700010299682617
23,81648,125.0,0.36700010299682617
24,81805,125.0,0.36700010299682617
25,81963,125.0,0.36700010299682617
26,82119,125.0,0.3680000305175781
27,82277,125.0,0.3680000305175781
28,82432,125.0,0.3680000305175781
29,82590,125.0,0.3689999580383301
30,82747,125.0,0.3689999580383301
31,82906,125.0,0.37000012397766113
32,83064,125.0,0.37000012397766113
33,83222,125.0,0.37000012397766113
34,83383,125.0,0.3710000514984131
35,83541,125.0,0.3710000514984131
36,83697,127.0,0.37199997901916504
37,83857,127.0,0.37199997901916504
38,84012,124.0,0.37199997901916504
39,84169,124.0,0.372999906539917
40,84328,124.0,0.372999906539917
41,84486,124.0,0.37400007247924805
42,84644,124.0,0.37400007247924805
43,84804,124.0,0.375
44,84963,124.0,0.375
45,85119,124.0,0.37599992752075195
46,85274,124.0,0.37599992752075195
47,85429,124.0,0.37599992752075195
48,85589,124.0,0.377000093460083
49,85751,124.0,0.377000093460083
50,85908,124.0,0.377000093460083
51,86067,124.0,0.377000093460083
52,86225,124.0,0.37800002098083496
53,86383,124.0,0.37800002098083496
54,86542,124.0,0.37800002098083496
55,86701,124.0,0.37800002098083496
56,86861,124.0,0.3789999485015869
57,87021,124.0,0.3789999485015869
58,87178,125.0,0.3789999485015869
59,87338,124.0,0.3789999485015869
60,87497,124.0,0.38000011444091797
61,87657,124.0,0.38000011444091797
62,87814,127.0,0.3810000419616699
63,87970,124.0,0.3810000419616699
64,88128,127.0,0.3810000419616699
65,88283,127.0,0.3819999694824219
66,88439,127.0,0.3819999694824219
67,88596,126.0,0.38300013542175293
68,88753,126.0,0.38300013542175293
69,88910,126.0,0.38300013542175293
70,89066,124.0,0.3840000629425049
71,89221,124.0,0.3840000629425049
72,89376,124.0,0.3840000629425049
73,89533,124.0,0.3840000629425049
74,89687,126.0,0.38499999046325684
75,89845,126.0,0.38499999046325684
76,90002,126.0,0.38499999046325684
77,90159,126.0,0.3859999179840088
78,90316,126.0,0.3859999179840088
79,90474,126.0,0.3859999179840088
