iters,fevals,fitness,time
0,800,65.0,0.06200003623962402
1,1100,67.0,0.07200002670288086
2,1400,65.0,0.08699989318847656
3,1700,67.0,0.09399986267089844
4,2000,66.0,0.10199999809265137
5,2300,66.0,0.1099998950958252
6,2600,65.0,0.11699986457824707
7,2900,66.0,0.125
8,3200,65.0,0.13499999046325684
9,3500,66.0,0.15199995040893555
10,3800,68.0,0.16299986839294434
11,4100,66.0,0.17299985885620117
12,4400,66.0,0.18400001525878906
13,4700,66.0,0.1919999122619629
14,5000,65.0,0.20199990272521973
15,5300,65.0,0.2109999656677246
16,5600,65.0,0.21899986267089844
17,5900,65.0,0.22899985313415527
18,6200,65.0,0.24000000953674316
19,6500,65.0,0.25499987602233887
20,6800,65.0,0.2669999599456787
21,7100,66.0,0.2760000228881836
22,7400,66.0,0.2849998474121094
23,7700,66.0,0.2950000762939453
24,8000,66.0,0.3039999008178711
25,8300,65.0,0.312999963760376
26,8600,65.0,0.3209998607635498
27,8900,66.0,0.3299999237060547
28,9200,66.0,0.3399999141693115
29,9500,66.0,0.34800004959106445
30,9800,66.0,0.35500001907348633
31,10300,71.0,0.3689999580383301
32,10800,72.0,0.3880000114440918
33,11100,71.0,0.3959999084472656
34,11400,71.0,0.4029998779296875
35,11700,80.0,0.41499996185302734
36,12000,71.0,0.42299985885620117
37,12300,72.0,0.432999849319458
38,12600,71.0,0.4500000476837158
39,12900,71.0,0.4700000286102295
40,13200,72.0,0.4789998531341553
41,13500,72.0,0.4849998950958252
42,13800,71.0,0.49900007247924805
43,14100,71.0,0.5090000629425049
44,14400,72.0,0.5160000324249268
45,14700,71.0,0.5329999923706055
46,15000,71.0,0.5439999103546143
47,15300,72.0,0.5520000457763672
48,15600,71.0,0.562000036239624
49,15900,71.0,0.5699999332427979
50,16200,71.0,0.5759999752044678
51,16500,71.0,0.5839998722076416
52,16800,71.0,0.5899999141693115
53,17100,71.0,0.5959999561309814
54,17400,71.0,0.6050000190734863
55,17700,71.0,0.6159999370574951
