iters,fevals,fitness,time
0,1700,9678.5754380671,0.27700018882751465
1,2500,10051.08244438856,0.46000003814697266
2,2950,10168.49449745984,0.507000207901001
3,3100,10101.02211576588,0.5180001258850098
4,3250,10148.960997828091,0.5300002098083496
5,3500,10185.840601863734,0.5520000457763672
6,3650,10177.839901968406,0.5630002021789551
7,3800,10163.2112505941,0.5740001201629639
8,3950,10189.7519743275,0.5860002040863037
9,4700,10337.114455955083,0.6650002002716064
10,5000,10363.586474743566,0.693000078201294
11,5150,10358.754085889626,0.7040002346038818
12,5300,10358.754085889626,0.7150001525878906
13,5450,10360.768770189316,0.7280001640319824
14,5650,10360.755297383766,0.7590000629425049
15,5800,10351.128347749749,0.7810001373291016
16,5950,10342.132740532894,0.8060002326965332
17,6100,10341.812415543036,0.8470001220703125
18,6400,10392.842996077206,0.9250001907348633
19,6550,10362.690450338805,0.937000036239624
20,6700,10398.40548671949,0.9480001926422119
21,7000,10425.330787080718,0.9790000915527344
22,7200,10462.488404995855,0.9960000514984131
23,7350,10408.337636016948,1.0090000629425049
24,7500,10403.423771297299,1.0200002193450928
25,7650,10403.423771297299,1.0320000648498535
26,7800,10403.423771297299,1.0430002212524414
27,7950,10453.943996825534,1.0550000667572021
28,8200,10434.780052194817,1.0780000686645508
29,8350,10434.780052194817,1.0900001525878906
30,8500,10434.780052194817,1.1019999980926514
31,8750,10444.253191461925,1.124000072479248
32,8900,10446.447401768655,1.136000156402588
33,9050,10459.42384939237,1.1470000743865967
34,9300,10446.447401768655,1.1710000038146973
35,9500,10461.72918848041,1.189000129699707
36,9650,10461.72918848041,1.2000000476837158
37,9800,10461.72918848041,1.2120001316070557
38,9950,10434.780052194817,1.2240002155303955
39,10100,10434.780052194817,1.2360000610351562
40,10250,10434.780052194817,1.249000072479248
41,10400,10434.780052194817,1.2630000114440918
42,10550,10453.943996825534,1.2750000953674316
43,10700,10453.943996825534,1.2870001792907715
44,10950,10451.49829954644,1.313000202178955
45,11100,10439.798336772628,1.3350000381469727
46,11250,10439.798336772628,1.371000051498413
47,11400,10439.798336772628,1.3940000534057617
48,11550,10439.798336772628,1.4080002307891846
49,11700,10439.798336772628,1.4220001697540283
50,11850,10439.798336772628,1.438000202178955
51,12000,10439.798336772628,1.4630000591278076
52,12150,10439.798336772628,1.4830000400543213
53,12300,10439.798336772628,1.5120000839233398
54,12450,10439.798336772628,1.5550000667572021
55,12600,10439.798336772628,1.5810000896453857
56,12750,10465.013299841421,1.5930001735687256
57,12900,10439.798336772628,1.623000144958496
58,13050,10439.798336772628,1.6570000648498535
59,13200,10439.798336772628,1.7080001831054688
60,13350,10439.798336772628,1.7250001430511475
61,13500,10439.798336772628,1.7590000629425049
62,13650,10439.798336772628,1.7740001678466797
63,13800,10439.798336772628,1.7880001068115234
64,13950,10439.798336772628,1.8060002326965332
65,14100,10440.269737132314,1.820000171661377
66,14250,10471.270870904194,1.8340001106262207
67,14400,10439.798336772628,1.8500001430511475
68,14550,10439.798336772628,1.8650000095367432
69,14700,10439.798336772628,1.877000093460083
70,14850,10439.798336772628,1.8910000324249268
71,15000,10439.798336772628,1.9050002098083496
72,15150,10439.798336772628,1.9210000038146973
73,15300,10439.798336772628,2.014000177383423
74,15450,10439.798336772628,2.0320000648498535
75,15600,10439.798336772628,2.074000120162964
76,15750,10458.700663657888,2.0870001316070557
77,15900,10447.719704976034,2.1080000400543213
78,16050,10439.798336772628,2.125
79,16200,10476.541577722533,2.142000198364258
80,16350,10469.015837468265,2.1610000133514404
81,16500,10440.393584969184,2.1750001907348633
82,16650,10439.798336772628,2.19100022315979
83,16800,10439.798336772628,2.203000068664551
84,16950,10444.06134814313,2.2160000801086426
85,17100,10448.939260790408,2.2300000190734863
86,17250,10439.798336772628,2.243000030517578
87,17400,10439.798336772628,2.258000135421753
88,17550,10439.798336772628,2.2820000648498535
89,17700,10439.798336772628,2.312000036239624
90,17850,10439.798336772628,2.3470001220703125
91,18000,10439.798336772628,2.372000217437744
92,18150,10439.798336772628,2.4010000228881836
93,18300,10439.798336772628,2.443000078201294
94,18450,10448.795796459304,2.4750001430511475
95,18600,10439.798336772628,2.515000104904175
96,18750,10472.468473700801,2.5490000247955322
97,18900,10439.798336772628,2.576000213623047
98,19050,10439.798336772628,2.6030001640319824
99,19200,10439.798336772628,2.633000135421753
100,19350,10439.798336772628,2.7300000190734863
101,19500,10439.798336772628,2.7990000247955322
102,19650,10439.798336772628,2.9280002117156982
103,19800,10439.798336772628,3.0410001277923584
104,19950,10439.798336772628,3.2100000381469727
105,20100,10439.798336772628,3.328000068664551
106,20250,10439.798336772628,3.434000015258789
107,20400,10439.798336772628,3.5960001945495605
108,20550,10439.798336772628,3.7700002193450928
109,20700,10439.798336772628,3.8519999980926514
110,20850,10439.798336772628,3.8910000324249268
111,21000,10439.798336772628,3.9190001487731934
112,21150,10439.798336772628,3.945000171661377
113,21300,10440.29935829489,3.9740002155303955
114,21450,10439.798336772628,4.002000093460083
115,21600,10439.798336772628,4.0340001583099365
116,21750,10439.798336772628,4.065000057220459
117,21900,10457.861364496293,4.105000019073486
118,22050,10439.798336772628,4.130000114440918
119,22200,10462.839751511094,4.150000095367432
120,22500,10439.798336772628,4.199000120162964
121,22650,10439.798336772628,4.226999998092651
122,22800,10453.110481751297,4.264000177383423
123,22950,10439.798336772628,4.311000108718872
124,23100,10439.798336772628,4.485000133514404
125,23250,10439.798336772628,4.507000207901001
126,23400,10439.798336772628,4.5320000648498535
127,23550,10439.798336772628,4.553000211715698
128,23700,10468.627839686913,4.574000120162964
129,23850,10439.798336772628,4.5950000286102295
130,24000,10439.798336772628,4.621000051498413
131,24150,10439.798336772628,4.645000219345093
132,24300,10439.798336772628,4.6650002002716064
133,24450,10439.798336772628,4.683000087738037
134,24600,10439.798336772628,4.706000089645386
135,24750,10439.798336772628,4.7240002155303955
136,24900,10486.966586026048,4.741000175476074
137,25050,10439.798336772628,4.760000228881836
138,25200,10439.798336772628,4.78000020980835
139,25350,10439.798336772628,4.799000024795532
140,25500,10439.798336772628,4.814000129699707
141,25650,10453.261404626639,4.839000225067139
142,25800,10457.891937794815,4.856000185012817
143,25950,10453.261404626639,4.871000051498413
144,26100,10499.659963461918,4.885000228881836
145,26250,10453.261404626639,4.901000022888184
146,26400,10446.979279676969,4.9150002002716064
147,26550,10446.979279676969,4.932000160217285
148,26700,10468.61890961151,4.946000099182129
149,26850,10469.273100342632,4.961000204086304
150,27000,10473.928415962562,4.9740002155303955
151,27150,10460.993171471633,4.988000154495239
152,27350,10482.541035461692,5.009000062942505
